rank,accuracy,error,rep,fold,K,condition,reconstruction
0.8345555555555558,0.06333333333333334,0.2664666666666664,44,1,10,intact,all_archetypes
0.8365111111111109,0.06,0.2723777777777778,45,0,10,intact,all_archetypes
0.8401888888888893,0.07,0.24852222222222214,45,1,10,intact,all_archetypes
0.8340555555555561,0.05333333333333334,0.25809999999999966,46,0,10,intact,all_archetypes
0.8442555555555559,0.06,0.2862888888888886,46,1,10,intact,all_archetypes
0.8370777777777779,0.056666666666666664,0.24157777777777775,47,0,10,intact,all_archetypes
0.8405111111111118,0.03333333333333333,0.27191111111111077,47,1,10,intact,all_archetypes
0.8502888888888889,0.04666666666666667,0.2961666666666666,48,0,10,intact,all_archetypes
0.8517444444444446,0.04,0.25723333333333304,48,1,10,intact,all_archetypes
0.8452222222222234,0.04666666666666667,0.2793888888888885,49,0,10,intact,all_archetypes
0.8462666666666671,0.04,0.25017777777777733,49,1,10,intact,all_archetypes
0.5210999999999999,0.01,0.30773333333333336,0,0,10,rest,all_archetypes
0.525288888888889,0.006666666666666667,0.3803888888888886,0,1,10,rest,all_archetypes
0.5286777777777778,0.006666666666666667,0.31178888888888856,1,0,10,rest,all_archetypes
0.5323000000000003,0.01,0.37031111111111126,1,1,10,rest,all_archetypes
0.5560666666666665,0.0033333333333333335,0.31577777777777805,2,0,10,rest,all_archetypes
0.5544777777777777,0.01,0.3156444444444445,2,1,10,rest,all_archetypes
0.5222999999999999,0.0033333333333333335,0.3803666666666667,3,0,10,rest,all_archetypes
0.5119333333333332,0.0,0.32383333333333336,3,1,10,rest,all_archetypes
0.5030111111111111,0.0033333333333333335,0.3207666666666667,4,0,10,rest,all_archetypes
0.49825555555555534,0.006666666666666667,0.328611111111111,4,1,10,rest,all_archetypes
0.5362888888888891,0.01,0.3310555555555556,5,0,10,rest,all_archetypes
0.5436444444444445,0.006666666666666667,0.30706666666666665,5,1,10,rest,all_archetypes
0.5314666666666672,0.006666666666666667,0.3825444444444445,6,0,10,rest,all_archetypes
0.5273999999999998,0.0,0.3422222222222219,6,1,10,rest,all_archetypes
0.4964444444444446,0.0033333333333333335,0.35853333333333337,7,0,10,rest,all_archetypes
0.49106666666666665,0.0,0.3488777777777779,7,1,10,rest,all_archetypes
0.5475888888888886,0.0,0.3356444444444443,8,0,10,rest,all_archetypes
0.5477111111111114,0.0033333333333333335,0.3463111111111113,8,1,10,rest,all_archetypes
0.5002555555555556,0.0033333333333333335,0.35147777777777783,9,0,10,rest,all_archetypes
0.4985111111111114,0.0033333333333333335,0.3567111111111112,9,1,10,rest,all_archetypes
0.5418666666666666,0.0033333333333333335,0.34034444444444445,10,0,10,rest,all_archetypes
0.5505999999999995,0.0033333333333333335,0.37242222222222254,10,1,10,rest,all_archetypes
0.48100000000000004,0.0033333333333333335,0.3737666666666667,11,0,10,rest,all_archetypes
0.48361111111111116,0.006666666666666667,0.31885555555555567,11,1,10,rest,all_archetypes
0.5572444444444442,0.013333333333333334,0.34601111111111105,12,0,10,rest,all_archetypes
0.5542000000000001,0.016666666666666666,0.32513333333333333,12,1,10,rest,all_archetypes
0.5573666666666665,0.01,0.3378888888888888,13,0,10,rest,all_archetypes
0.554211111111111,0.0033333333333333335,0.35074444444444436,13,1,10,rest,all_archetypes
0.5406888888888894,0.01,0.3572555555555556,14,0,10,rest,all_archetypes
0.5343777777777781,0.0033333333333333335,0.34944444444444417,14,1,10,rest,all_archetypes
0.5180333333333333,0.0033333333333333335,0.34861111111111126,15,0,10,rest,all_archetypes
0.5247666666666667,0.0033333333333333335,0.3690000000000001,15,1,10,rest,all_archetypes
0.503088888888889,0.01,0.3413222222222224,16,0,10,rest,all_archetypes
0.49265555555555535,0.01,0.3721555555555554,16,1,10,rest,all_archetypes
0.5375888888888889,0.01,0.34258888888888905,17,0,10,rest,all_archetypes
0.5349666666666669,0.0033333333333333335,0.3394666666666668,17,1,10,rest,all_archetypes
0.5178111111111113,0.0033333333333333335,0.30901111111111096,18,0,10,rest,all_archetypes
0.5145111111111108,0.01,0.3383333333333332,18,1,10,rest,all_archetypes
0.5369777777777778,0.01,0.3052777777777778,19,0,10,rest,all_archetypes
0.5400888888888888,0.006666666666666667,0.3651444444444447,19,1,10,rest,all_archetypes
0.5401333333333338,0.0033333333333333335,0.31639999999999996,20,0,10,rest,all_archetypes
0.5459555555555554,0.0,0.3300777777777777,20,1,10,rest,all_archetypes
0.5103666666666665,0.0033333333333333335,0.3460555555555553,21,0,10,rest,all_archetypes
0.5152,0.0033333333333333335,0.33995555555555557,21,1,10,rest,all_archetypes
0.5249333333333334,0.01,0.3418999999999997,22,0,10,rest,all_archetypes
0.5299888888888894,0.013333333333333334,0.3372888888888891,22,1,10,rest,all_archetypes
0.48548888888888875,0.0033333333333333335,0.314022222222222,23,0,10,rest,all_archetypes
0.49039999999999984,0.01,0.3365666666666665,23,1,10,rest,all_archetypes
0.4528888888888889,0.006666666666666667,0.3152333333333334,24,0,10,rest,all_archetypes
0.46208888888888905,0.0033333333333333335,0.38783333333333353,24,1,10,rest,all_archetypes
0.5328222222222223,0.0033333333333333335,0.3228777777777776,25,0,10,rest,all_archetypes
0.5289999999999999,0.013333333333333334,0.3376888888888889,25,1,10,rest,all_archetypes
0.49840000000000023,0.013333333333333334,0.3165666666666666,26,0,10,rest,all_archetypes
0.505611111111111,0.013333333333333334,0.3193444444444445,26,1,10,rest,all_archetypes
0.5361999999999998,0.0033333333333333335,0.3585333333333332,27,0,10,rest,all_archetypes
0.5439777777777777,0.006666666666666667,0.3459555555555557,27,1,10,rest,all_archetypes
0.5292999999999998,0.013333333333333334,0.3436333333333335,28,0,10,rest,all_archetypes
0.5171777777777783,0.01,0.35052222222222224,28,1,10,rest,all_archetypes
0.5043888888888884,0.006666666666666667,0.3891666666666664,29,0,10,rest,all_archetypes
